Country,Code,Year,Month, Gross Domestic Product (GDP), Consumer Price Index (CPI), Money supply (broad money), Mortgage credit interest rate, Business credit interest rate, Unemployment rate , Household consumption, Investment, Economic growth quarterly , Current account balance, Exports, Consumption growth, Investment growth, Budget balance, Inflation monthly, Exchange rate to USD, Minimum wage, Purchasing Managers Index (PMI) composite, Purchasing Managers Index (PMI) manufacturing, Purchasing Managers Index (PMI) services
South Africa, ZAF, 2017, 5, , 102.7, 2593.6, , , , , , , , , , , , 0.29, 13.2561, , , , 
South Africa, ZAF, 2017, 6, 1141.01, 102.9, 2574.02, , , 27.7, 673.88, 214.32, 1.2, -19556.62, 323629.62, 6.76, 1.44, , 0.19, 12.8898, , , , 
South Africa, ZAF, 2017, 7, , 103.2, 2617.91, , , , , , , , , , , , 0.29, 13.127, , , , 
South Africa, ZAF, 2017, 8, , 103.3, 2644.8, , , , , , , , , , , , 0.1, 13.2431, , , , 
South Africa, ZAF, 2017, 9, 1160.51, 103.8, 2682.02, , , 27.7, 689.01, 219.58, 1.6, -41884.85, 333215.86, 6.91, 2.75, , 0.48, 13.1624, , , , 
South Africa, ZAF, 2017, 10, , 104.1, 2714.73, , , , , , , , , , , , 0.29, 13.7016, , , , 
South Africa, ZAF, 2017, 11, , 104.2, 2783.91, , , , , , , , , , , , 0.1, 14.0871, , , , 
South Africa, ZAF, 2017, 12, 1182.53, 104.7, 2806.03, , , 26.7, 752.14, 225.03, 1.4, -13456.07, 351020.81, 7.06, 2.85, , 0.48, 13.0853, , , , 
South Africa, ZAF, 2018, 1, , 105, 2770.23, , , , , , , , , , , , 0.29, 12.1923, , , , 
South Africa, ZAF, 2018, 2, , 105.8, 2752.65, , , , , , , , , , , , 0.76, 11.8202, , , , 
South Africa, ZAF, 2018, 3, 1193.78, 106.2, 2790.64, , , 26.7, 695.34, 218.46, 0.8, -72544.91, 303910.12, 7.08, 2.78, , 0.38, 11.8451, , , , 
South Africa, ZAF, 2018, 4, , 107, 2752.71, , , , , , , , , , , , 0.75, 12.0988, , , , 
South Africa, ZAF, 2018, 5, , 107.2, 2737.38, , , , , , , , , , , , 0.19, 12.5302, , 50, 49.8, 
South Africa, ZAF, 2018, 6, 1217.74, 107.6, 2703.95, , , 27.2, 714.24, 219.54, 0.4, -24675.87, , 5.99, 2.44, , 0.37, 13.3002, , 50.9, 47.9, 
South Africa, ZAF, 2018, 7, , 108.5, 2791.35, , , , , , , , , , , , 0.84, 13.3929, , 49.3, 49.9, 
South Africa, ZAF, 2018, 8, , 108.4, 2834.15, , , , , , , , , , , , -0.09, 14.1222, , 47.2, 45.2, 
South Africa, ZAF, 2018, 9, 1273.8, 108.9, 2866.63, , , 27.5, 731.9, 227.05, 1.1, -57796.69, 369819.39, 6.22, 3.4, , 0.46, 14.7359, , 48, 44.5, 
South Africa, ZAF, 2018, 10, , 109.4, 2842.76, , , , , , , , , , , , 0.46, 14.5533, , 46.9, 42.4, 
South Africa, ZAF, 2018, 11, , 109.6, 2891.39, , , , , , , , , , , , 0.18, 14.0894, , 48.2, 49.5, 
South Africa, ZAF, 2018, 12, , 109.4, 2893.83, , , 27.1, , , , -17133.2, 381574, , , , -0.18, 14.2806, , 49, 50.7, 
South Africa, ZAF, 2019, 1, , 109.2, 2847.5, , , , , , , , , , , , -0.18, 13.8307, , 49.6, 49.9, 
South Africa, ZAF, 2019, 2, , 110.1, 2856.9, , , , , , , , , , , , 0.82, 13.8114, , 50.2, 46.2, 
South Africa, ZAF, 2019, 3, , 111, 2936.7, , , 27.6, , , , , , , , , 0.82, 14.3943, , 48.8, 45, 
South Africa, ZAF, 2019, 4, , 110.7, , , , , , , , , , , , , , 14.144, , 50.3, 47.2, 
South Africa, ZAF, 2019, 5, , , , , , , , , , , , , , , , 14.4103, , 49.3, 45.4, 
South Africa, ZAF, 2019, 6, , , , , , , , , , , , , , , , , , , , 
South Africa, ZAF, 2019, 7, , , , , , , , , , , , , , , , , , , , 
South Africa, ZAF, 2019, 8, , , , , , , , , , , , , , , , , , , , 
South Africa, ZAF, 2019, 9, , , , , , , , , , , , , , , , , , , , 
South Africa, ZAF, 2019, 10, , , , , , , , , , , , , , , , , , , , 
South Africa, ZAF, 2019, 11, , , , , , , , , , , , , , , , , , , , 
South Africa, ZAF, 2019, 12, , , , , , , , , , , , , , , , , , , , 
